Año,Concepto,Presupuesto,Liquidación
2024,Órganos de gobierno personal directivo,150000.00,150088.75
2024,Personal funcionario,1465849.39,1337647.00
2024,Personal laboral,2943829.01,3354875.26
2024,Incentivos al rendimiento,251739.28,227975.40
2024,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1495219.40,1499823.44
2024,Arrendamientos y cánones,47468.00,51859.18
2024,"Reparaciones, mantenimientos y conservación",257930.00,234315.22
2024,"Material, suministros y otros",3750123.46,4156663.74
2024,Indemnizaciones por razón de servicio,43246.46,50706.62
2024,Gastos de edición y distribución,3500.00,3120.00
2024,Trasbajos realizados por AAPP. Y EEPP,962415.99,898984.38
2024,Trabajos realizados por instituciones sin fines de lucro,94700.00,156116.61
2024,De préstamos y otras operaciones financieras,95178.00,86466.37
2024,Intereses de demora y otros gastos financieros,34000.00,5131.21
2024,A la Administración del Estado,12000.00,0.00
2024,A entidades locales,9050.00,9030.65
2024,A empresas privadas,0.00,0.00
2024,A familias e instituciones sin ánimo de lucro,281300.00,265957.17
2024,Al exterior,0.00,0.00
2024,Fondo de contingencia,30000.00,0.00
2024,Inversión nueva en bienes e infraestructuras de interés general,50000.00,278884.90
2024,Inversiones en reposición de infra. destinados al uso general,10800.00,137090.34
2024,Inversión nueva asociada al funcio. operativo de los servicios,20100.00,194661.73
2024,Inversión de reposición asoc al funcio operativo de los servicios,23651.00,85481.35
2024,Gastos e inversiones de carácter inmaterial,1276.15,36380.67
2024,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2024,A la Administración del Estado,0.00,0.00
2024,A la Administración general de la CCAA,0.00,0.00
2024,Vehículos,0.00,0.00
2024,Concesión de préstamos fuera del sector primario,5000.00,2100.00
2024,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2024,Amortización de ope. Y prestamos en curso,69426.29,68864.24
2023,Órganos de gobierno personal directivo,136584.00,144805.90
2023,Personal funcionario,1393155.43,1260876.10
2023,Personal laboral,2742673.34,3551125.79
2023,Incentivos al rendimiento,169676.63,171115.76
2023,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1429185.20,1555278.79
2023,Arrendamientos y cánones,44425.00,37389.00
2023,"Reparaciones, mantenimientos y conservación",290900.00,283439.46
2023,"Material, suministros y otros",4093188.77,4346529.12
2023,Indemnizaciones por razón de servicio,50900.00,35794.42
2023,Gastos de edición y distribución,2000.00,0.00
2023,Trasbajos realizados por AAPP. Y EEPP,763058.66,734183.92
2023,Trabajos realizados por instituciones sin fines de lucro,112200.00,98834.00
2023,De préstamos y otras operaciones financieras,35160.00,21000.40
2023,Intereses de demora y otros gastos financieros,22000.00,32049.35
2023,A la Administración del Estado,0.00,0.00
2023,A entidades locales,7700.00,7623.32
2023,A empresas privadas,0.00,0.00
2023,A familias e instituciones sin ánimo de lucro,326800.00,329610.15
2023,Al exterior,0.00,0.00
2023,Fondo de contingencia,10000.00,0.00
2023,Inversión nueva en bienes e infraestructuras de interés general,50000.00,130042.13
2023,Inversiones en reposición de infra. destinados al uso general,29140.97,744824.11
2023,Inversión nueva asociada al funcio. operativo de los servicios,60000.00,291022.86
2023,Inversión de reposición asoc al funcio operativo de los servicios,18000.00,61201.76
2023,Gastos e inversiones de carácter inmaterial,0.00,11349.80
2023,Gastos e inversiones de bienes patrimoniales,70000.00,397476.43
2023,A la Administración del Estado,0.00,0.00
2023,A la Administración general de la CCAA,0.00,3721.15
2023,Vehículos,0.00,0.00
2023,Concesión de préstamos fuera del sector primario,10000.00,6713.60
2023,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2023,Amortización de ope. Y prestamos en curso,68252.00,55592.74
2022,Órganos de gobierno personal directivo,136584.00,136584.00
2022,Personal funcionario,1336512.64,1199489.32
2022,Personal laboral,2631195.20,3471434.59
2022,Incentivos al rendimiento,137454.64,174395.16
2022,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1401745.92,1553459.65
2022,Arrendamientos y cánones,44519.38,37389.00
2022,"Reparaciones, mantenimientos y conservación",313200.00,317044.70
2022,"Material, suministros y otros",3982277.60,4610417.93
2022,Indemnizaciones por razón de servicio,38400.00,38678.95
2022,Gastos de edición y distribución,3000.00,1560.00
2022,Trasbajos realizados por AAPP. Y EEPP,708590.19,678384.23
2022,Trabajos realizados por instituciones sin fines de lucro,103544.61,110334.25
2022,De préstamos y otras operaciones financieras,6000.00,2711.28
2022,Intereses de demora y otros gastos financieros,8000.00,9685.39
2022,A la Administración del Estado,0.00,0.00
2022,A entidades locales,7700.00,7623.32
2022,A empresas privadas,20500.00,20080.74
2022,A familias e instituciones sin ánimo de lucro,356439.10,356602.24
2022,Al exterior,0.00,0.00
2022,Fondo de contingencia,25000.00,0.00
2022,Inversión nueva en bienes e infraestructuras de interés general,0.00,125841.35
2022,Inversiones en reposición de infra. destinados al uso general,95000.00,372877.39
2022,Inversión nueva asociada al funcio. operativo de los servicios,271303.38,240474.93
2022,Inversión de reposición asoc al funcio operativo de los servicios,28000.00,166441.95
2022,Gastos e inversiones de carácter inmaterial,15000.00,3630.00
2022,Gastos e inversiones de bienes patrimoniales,0.00,413072.57
2022,A la Administración del Estado,0.00,0.00
2022,A la Administración general de la CCAA,0.00,0.00
2022,Vehículos,0.00,0.00
2022,Concesión de préstamos fuera del sector primario,10000.00,8271.80
2022,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2022,Amortización de ope. Y prestamos en curso,55533.34,59050.54
2021,Órganos de gobierno personal directivo,136584.00,136584.00
2021,Personal funcionario,1359519.07,1200013.91
2021,Personal laboral,2745955.85,3194669.12
2021,Incentivos al rendimiento,143605.91,85408.03
2021,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1352840.78,1342518.41
2021,Arrendamientos y cánones,53200.00,26294.86
2021,"Reparaciones, mantenimientos y conservación",291000.00,281713.05
2021,"Material, suministros y otros",3726161.77,3874212.24
2021,Indemnizaciones por razón de servicio,38516.00,37145.79
2021,Gastos de edición y distribución,2500.00,3458.21
2021,Trasbajos realizados por AAPP. Y EEPP,639400.00,602945.03
2021,Trabajos realizados por instituciones sin fines de lucro,109700.00,58106.75
2021,De préstamos y otras operaciones financieras,6000.00,1634.78
2021,Intereses de demora y otros gastos financieros,10000.00,9161.02
2021,A la Administración del Estado,0.00,0.00
2021,A entidades locales,7700.00,0.00
2021,A empresas privadas,19000.00,6099.99
2021,A familias e instituciones sin ánimo de lucro,343439.10,307251.54
2021,Al exterior,0.00,0.00
2021,Fondo de contingencia,36000.00,0.00
2021,Inversión nueva en bienes e infraestructuras de interés general,0.00,219970.27
2021,Inversiones en reposición de infra. destinados al uso general,161000.00,477503.19
2021,Inversión nueva asociada al funcio. operativo de los servicios,10000.00,75060.94
2021,Inversión de reposición asoc al funcio operativo de los servicios,49000.00,639874.04
2021,Gastos e inversiones de carácter inmaterial,6000.00,21845.04
2021,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2021,A la Administración del Estado,0.00,0.00
2021,A la Administración general de la CCAA,0.00,0.00
2021,Vehículos,0.00,0.00
2021,Concesión de préstamos fuera del sector primario,10000.00,9377.59
2021,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2021,Amortización de ope. Y prestamos en curso,48200.00,49208.41
2020,Órganos de gobierno personal directivo,136584.00,154988.33
2020,Personal funcionario,1332479.24,1212640.69
2020,Personal laboral,2636929.87,3340669.96
2020,Incentivos al rendimiento,145182.35,113117.26
2020,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1392480.14,1305912.81
2020,Arrendamientos y cánones,19900.00,30291.12
2020,"Reparaciones, mantenimientos y conservación",251457.09,296592.34
2020,"Material, suministros y otros",3707397.33,3583761.10
2020,Indemnizaciones por razón de servicio,51400.00,37518.45
2020,Gastos de edición y distribución,2500.00,3120.00
2020,Trasbajos realizados por AAPP. Y EEPP,621537.02,625295.50
2020,Trabajos realizados por instituciones sin fines de lucro,103700.00,43920.05
2020,De préstamos y otras operaciones financieras,6320.00,2964.60
2020,Intereses de demora y otros gastos financieros,3000.00,4978.80
2020,A la Administración del Estado,0.00,0.00
2020,A entidades locales,13687.00,7623.32
2020,A empresas privadas,50000.00,62699.90
2020,A familias e instituciones sin ánimo de lucro,371242.20,350876.61
2020,Al exterior,0.00,0.00
2020,Fondo de contingencia,30000.00,0.00
2020,Inversión nueva en bienes e infraestructuras de interés general,0.00,40234.48
2020,Inversiones en reposición de infra. destinados al uso general,6946.78,233950.81
2020,Inversión nueva asociada al funcio. operativo de los servicios,17284.71,113993.18
2020,Inversión de reposición asoc al funcio operativo de los servicios,94000.00,179023.95
2020,Gastos e inversiones de carácter inmaterial,0.00,25248.86
2020,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2020,A la Administración del Estado,0.00,0.00
2020,A la Administración general de la CCAA,0.00,15113.21
2020,Vehículos,0.00,0.00
2020,Concesión de préstamos fuera del sector primario,8000.00,8000.00
2020,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2020,Amortización de ope. Y prestamos en curso,48200.00,48591.24
2019,Órganos de gobierno personal directivo,87253.04,85280.98
2019,Personal funcionario,1275188.18,917215.19
2019,Personal laboral,2570229.37,2586974.82
2019,Incentivos al rendimiento,135893.69,74657.22
2019,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1294054.83,1287125.25
2019,Arrendamientos y cánones,15200.00,10702.53
2019,"Reparaciones, mantenimientos y conservación",216099.26,256900.80
2019,"Material, suministros y otros",3707267.63,4236113.03
2019,Indemnizaciones por razón de servicio,51700.00,46296.94
2019,Gastos de edición y distribución,2500.00,1560.00
2019,Trasbajos realizados por AAPP. Y EEPP,524500.00,588614.97
2019,Trabajos realizados por instituciones sin fines de lucro,103700.00,100966.85
2019,De préstamos y otras operaciones financieras,7820.00,2841.75
2019,Intereses de demora y otros gastos financieros,3000.00,1175.02
2019,A la Administración del Estado,0.00,0.00
2019,A entidades locales,123879.59,51894.59
2019,A empresas privadas,50000.00,15950.00
2019,A familias e instituciones sin ánimo de lucro,297710.00,197406.56
