año;organismo;programa;economica;sp;descripcion;presupuesto;liquidacion
2010;1;1100;;;Deuda Pública;434486.54;336917.13
2011;1;1100;;;Deuda Pública;485195.74;443940.33
2012;1;1100;;;Deuda Pública;782517.68;719304.59
2013;1;1100;;;Deuda Pública;792484.35;677851.81
2014;1;1100;;;Deuda Pública;401000;846716.41
2015;1;1100;;;Deuda Pública;378879;440423.56
2016;1;1100;;;Deuda Pública;312561;271787.89
2017;1;1100;;;Deuda Pública;246426;1136692.9
2018;1;1100;;;Deuda Pública;170054.5;145461.48
2019;1;1100;;;Deuda Pública;59020;52139.96
2020;1;1100;;;Deuda Pública;57520;56534.64
2021;1;1100;;;Deuda Pública;64200;60004.21
2022;1;1100;;;Deuda Pública;69533.34;68580.21
2023;1;1100;;;Deuda Pública;125412;108642.49
2024;1;1100;;;Deuda Pública;198604.29;160461.82
2010;1;13200;;;Seguridad y Orden Público;810789.11;569657.24
2011;1;13200;;;Seguridad y Orden Público;795840.53;662162.67
2012;1;13200;;;Seguridad y Orden Público;795509.19;642850.37
2013;1;13200;;;Seguridad y Orden Público;783981.29;645008.15
2014;1;13200;;;Seguridad y Orden Público;791639.39;667530.58
2015;1;13200;;;Seguridad y Orden Público;792695.72;673276.74
2016;1;13200;;;Seguridad y Orden Público;797359.93;656541.76
2017;1;13200;;;Seguridad y Orden Público;790010.29;711495.25
2018;1;13200;;;Seguridad y Orden Público;803968.29;743360.29
2019;1;13200;;;Seguridad y Orden Público;820972.93;694279.82
2020;1;13200;;;Seguridad y Orden Público;894147.83;866749.75
2021;1;13200;;;Seguridad y Orden Público;902066.8;784123.45
2022;1;13200;;;Seguridad y Orden Público;875348.8;856844.98
2023;1;13200;;;Seguridad y Orden Público;862086.97;802446.99
2024;1;13200;;;Seguridad y Orden Público;949369.52;866542.34
2010;1;13300;;;Seguridad del Tráfico y del estacionamiento;14600;8550.41
2011;1;13300;;;Seguridad del Tráfico y del estacionamiento;15600;21570.88
2012;1;13300;;;Seguridad del Tráfico y del estacionamiento;10725;12327.61
2013;1;13300;;;Seguridad del Tráfico y del estacionamiento;14400;10358.08
2014;1;13300;;;Seguridad del Tráfico y del estacionamiento;10440;6747.1
2015;1;13300;;;Seguridad del Tráfico y del estacionamiento;17400;32180.59
2016;1;13300;;;Seguridad del Tráfico y del estacionamiento;30000;6427.78
2017;1;13300;;;Seguridad del Tráfico y del estacionamiento;33600;22430.9
2018;1;13300;;;Seguridad del Tráfico y del estacionamiento;5650;6190.3
2019;1;13300;;;Seguridad del Tráfico y del estacionamiento;5650;90304.89
2020;1;13300;;;Seguridad del Tráfico y del estacionamiento;9750;62137.38
2021;1;13300;;;Seguridad del Tráfico y del estacionamiento;10750;34346.79
2022;1;13300;;;Seguridad del Tráfico y del estacionamiento;10750;33489.23
2023;1;13300;;;Seguridad del Tráfico y del estacionamiento;11650;11167.28
2024;1;13300;;;Seguridad del Tráfico y del estacionamiento;10350;7763.06
2010;1;13500;;;Protección civil;4100;4084.69
2011;1;13500;;;Protección civil;7200;5901.98
2012;1;13500;;;Protección civil;9600;6932.38
2013;1;13500;;;Protección civil;6000;2470.6
2014;1;13500;;;Protección civil;3820;3623.99
2015;1;13500;;;Protección civil;4906;5018.83
2016;1;13500;;;Protección civil;6630;7833.33
2017;1;13500;;;Protección civil;4200;3935.13
2018;1;13500;;;Protección civil;10150;8117.09
2019;1;13500;;;Protección civil;3100;3907.7
2020;1;13500;;;Protección civil;3350;3432.33
2021;1;13500;;;Protección civil;3500;4136.35
2022;1;13500;;;Protección civil;3500;3534.11
2023;1;13500;;;Protección civil;3500;2196.04
2024;1;13500;;;Protección civil;2700;3222.71
2010;1;13600;;;Servicio de extinción de incendios;183998;176844.9
2011;1;13600;;;Servicio de extinción de incendios;183998;176031.84
2012;1;13600;;;Servicio de extinción de incendios;178000;172740.17
2013;1;13600;;;Servicio de extinción de incendios;180000;172700.48
2014;1;13600;;;Servicio de extinción de incendios;100000;171558.92
2015;1;13600;;;Servicio de extinción de incendios;39574;39573.18
2016;1;13600;;;Servicio de extinción de incendios;40000;40010.07
2017;1;13600;;;Servicio de extinción de incendios;40500;40455.14
2018;1;13600;;;Servicio de extinción de incendios;41253.95;41253.91
2019;1;13600;;;Servicio de extinción de incendios;41892.59;41892.59
2020;1;13600;;;Servicio de extinción de incendios;0;0
2021;1;13600;;;Servicio de extinción de incendios;0;0
2022;1;13600;;;Servicio de extinción de incendios;0;0
2023;1;13600;;;Servicio de extinción de incendios;0;0
2024;1;13600;;;Servicio de extinción de incendios;0;0
2010;1;15000;;;Administración General de Vivienda y Urbanismo;239785.37;262548.68
2011;1;15000;;;Administración General de Vivienda y Urbanismo;288896.97;434202.82
